,content,target
1,How do I reset my account password?,INQUIRY
2,Your recent order #12345 has been delayed. We apologize for the inconvenience.,SUPPORT
3,Exclusive offer! Buy one get one free on all products! Limited time only!,SPAM
4,We are a wholesaleSUPPLIER of electronic components. Contact us for bulk pricing.,SUPPLIER
5,I'm having trouble accessing the dashboard after the latest update.,SUPPORT
6,Do you offer international shipping for your products?,INQUIRY
7,Congratulations! You've won a free vacation! Click here to claim!,SPAM
8,Our company provides raw materials for manufacturing at competitive rates.,SUPPLIER
9,The product I received is damaged. How can I get a replacement?,SUPPORT
10,What are your business hours for customer service?,INQUIRY
11,"Make $10,000 a week working from home! No experience needed!",SPAM
12,We specialize in organic cotton fabrics for clothing manufacturers.,SUPPLIER
13,My subscription was renewed without my authorization. Please help.,SUPPORT
14,Can I change the delivery address for my pending order?,INQUIRY
15,URGENT: Your account has been compromised. Verify your details now!,SPAM
16,LeadingSUPPLIER of industrial machinery parts since 1995.,SUPPLIER
17,The app keeps crashing when I try to upload files.,SUPPORT
18,What payment methods do you accept for international orders?,INQUIRY
19,"You're pre-approved for a $50,000 loan with 0% interest!",SPAM
20,Premium office furnitureSUPPLIER with next-day delivery available.,SUPPLIER
21,How do I cancel my recurring subscription?,SUPPORT
22,"Subject: Issue with Recent Order #78910\n\nDear Customer Support Team,\n\nI hope this email finds you well. I am writing regarding my recent order (#78910) placed on your website. Unfortunately, I have encountered an issue with the delivery. The tracking information shows that the package was marked as delivered, but I have not received it. I’ve checked with my neighbors and the local post office, but they don’t have any record of it. Could you please investigate this matter and provide an update? I’ve attached the order confirmation and shipping details for your reference.\n\nAdditionally, I would appreciate it if you could confirm whether a replacement or refund is possible in case the package is lost. Thank you for your assistance, and I look forward to your prompt response.\n\nBest regards,\nJohn Smith",SUPPORT
23,"Subject:INQUIRY About Bulk Order Discounts\n\nHello Sales Team,\n\nI am reaching out from ABC Retailers, and we are interested in purchasing your products in bulk for our stores. Specifically, we are looking at your Model X series and would like to know if you offer volume discounts for orders above 500 units. Could you provide a price list along with any available promotions?\n\nWe are also interested in your shipping terms, lead times, and whether you support international shipments to Canada. If possible, please include any MOQ (Minimum Order Quantity) requirements and sample policies. We are evaluatingSUPPLIERs this month and would appreciate a prompt reply to help with our decision-making process.\n\nLooking forward to your response.\n\nSincerely,\nLisa Johnson\nProcurement Manager\nABC Retailers",INQUIRY
